2025-03-24 05:43:51.873 | INFO     | __main__:test_call_graph_parse:185 - Testing AsyncCallGraph parse() method
2025-03-24 05:43:55.179 | INFO     | __main__:test_call_graph_parse:198 - Using base_dir: /home/files/git/a-finite-monkey-engine
2025-03-24 05:43:55.180 | INFO     | __main__:test_call_graph_parse:199 - Using src_dir: tests/fixtures/call_graph
2025-03-24 05:43:55.180 | INFO     | finite_monkey.utils.async_call_graph:create:67 - whitelist.json not found, will analyze all functions
2025-03-24 05:43:55.180 | INFO     | finite_monkey.utils.async_call_graph:create:75 - modifier_whitelist.json not found, will analyze all modifiers
2025-03-24 05:44:14.421 | INFO     | finite_monkey.utils.async_call_graph:parse:628 - Parsing project at /home/files/git/a-finite-monkey-engine/tests/fixtures/call_graph
2025-03-24 05:44:14.421 | INFO     | finite_monkey.utils.async_call_graph:create:67 - whitelist.json not found, will analyze all functions
2025-03-24 05:44:14.422 | INFO     | finite_monkey.utils.async_call_graph:create:75 - modifier_whitelist.json not found, will analyze all modifiers
2025-03-24 05:44:14.617 | INFO     | finite_monkey.utils.async_call_graph:parse:638 - Collected 0 functions
2025-03-24 05:44:14.618 | INFO     | finite_monkey.utils.async_call_graph:parse:670 - Built 0 call trees
